Accident Fields_Reference Number,Grid Ref: Easting,Grid Ref: Northing
52I0795,431005,430543
52I0795,431005,430543
52I1158,432699,434508
52I1416,428011,435414
52I1529,433221,441562
52I1529,433221,441562
52I1722,443621,435554
52J0539,428935,433426
52J1728,432297,436292
52K0466,430205,433553
52K0633,430699,434881
52K0633,430699,434881
52K0633,430699,434881
52K0817,431929,445237
52K1668,426962,433382
52K1987,428128,434712
52L0839,414747,442826
52L1021,420690,440978
52L1071,427298,433770
52L1151,425976,434657
52L1510,431435,431610
52M0287,436925,433641
52M0493,428664,437012
52M0724,428432,435004
52M0724,428432,435004
52M1614,436214,436844
52M1828,427980,436048
52N0337,420485,440307
52N0338,422293,436835
52N0590,430099,431521
52N0790,428397,429061
52N1199,430420,433807
52N1702,425030,433179
52N1754,427541,436167
52N1934,427613,441658
52N2004,427915,435312
52O0005,419422,443129
52O0005,419422,443129
52O0005,419422,443129
52O1293,427887,430959
52P0959,432532,443146
52Q1077,433105,432725
52R0151,421084,434200
52R0502,427341,437182
52S0393,425214,426682
52S0393,425214,426682
52S0700,436796,428236
52S0700,436796,428236
52S1634,430366,432242
52S1650,430866,428552
5311326,422874,434819
5321014,441087,434591
5321560,427844,435959
5321651,428621,432870
5330782,427861,436179
5331118,432516,438025
5331745,427125,439903
5331745,427125,439903
5340882,434171,445051
5340882,434171,445051
5360287,434874,431312
5360401,431442,434895
5360430,417932,443181
5360888,420292,445366
5360985,430691,431911
5361667,427872,431314
5361667,427872,431314
5361857,426005,428231
5370745,427499,431339
5371093,426365,437829
5371464,418976,442084
5372047,431236,429806
5380230,426378,426747
5380339,432223,436395
5380766,425094,434309
5380766,425094,434309
5381175,440670,429117
5381477,431615,437682
5381518,442208,434639
5381586,428867,433730
5381587,440362,434712
5381894,429073,431236
5381894,429073,431236
5381894,429073,431236
5381927,430901,430366
5381927,430901,430366
5390904,426899,439316
5390904,426899,439316
5390904,426899,439316
5391525,429241,433846
5391982,435719,435741
53A0189,428111,426283
53A0189,428111,426283
53A0329,432283,426133
53A0824,430676,434874
53A0824,430676,434874
53A0824,430676,434874
53A1091,431888,435580
53A1754,431008,428122
53A1820,423848,434262
53A1820,423848,434262
53A1950,429188,431915
53B0398,427009,440183
53B0830,432434,434839
53B0830,432434,434839
53B0857,430766,438803
53B0872,432091,435867
53B0872,432091,435867
53C0145,426717,429878
53C0145,426717,429878
53C0352,425400,427054
53C1358,425123,437948
53D0336,429234,431911
53D0967,431667,434674
53E0338,430046,431273
53E0342,425956,428276
53E0991,436496,431059
53E0991,436496,431059
53E0991,436496,431059
53E1833,428803,434022
53F0198,429040,435636
53F0198,429040,435636
53F0309,427525,438702
53F0309,427525,438702
53F0315,422565,437956
53F0468,440592,448188
53F0696,433569,434932
53F0966,420501,434298
53F0966,420501,434298
53G0410,428585,435670
53G0972,428430,435004
53G1210,431759,435427
53G1829,436470,434065
53H0428,428962,435475
53I0076,438557,433791
53I1214,437013,434743
53J0217,428380,434057
53J0483,425110,445012
53K0029,430565,431181
53K0245,435802,425825
53K0425,426942,431790
53K1029,426269,442381
53K1029,426269,442381
53K1077,426324,438444
53K1098,427808,435402
53K1254,430073,433866
53K1272,428655,430790
53K1581,426214,431888
53L0230,431877,425611
53L0327,422477,438059
53L1179,436024,434796
53M0323,435940,433597
53M0763,431137,430366
53M0843,439867,441821
53M1438,434473,433713
53M1595,428939,430980
53M1981,433155,426325
53M1981,433155,426325
53M1981,433155,426325
53M1981,433155,426325
53N0309,427174,430619
53N0309,427174,430619
53N0566,434048,433351
53N0917,422759,433540
53N2005,431338,427073
53O0409,431966,435834
53O0849,431306,430217
53O0951,430289,435051
53O1399,424370,437848
53O1581,429588,434733
53O1731,431883,435291
53O1731,431883,435291
53O1731,431883,435291
53O1731,431883,435291
53P0417,426020,438121
53P0765,430797,434519
53P1231,436720,428775
53P1346,420176,445771
53P1346,420176,445771
53P1346,420176,445771
53P1620,424041,428048
53P1620,424041,428048
53Q0237,430414,437833
53Q0330,430887,436408
53R0642,426293,435593
53R1244,430878,438441
53S1268,430980,433148
53S1268,430980,433148
53T0219,431416,434085
53T0710,430909,426543
53U1260,426817,432945
53U1944,432402,434880
53V0006,429506,430264
53V0202,430006,432655
53V0768,439393,432439
53V1208,427681,436616
53V1284,429149,431740
53V1284,429149,431740
5410016,430692,434912
5410016,430692,434912
5410036,431176,434984
5410859,424436,429560
5420557,432431,443522
5420557,432431,443522
5421438,433120,429595
5431751,431064,430372
5431875,430940,430771
5441226,424608,428009
5441296,420667,434357
5441296,420667,434357
5450787,430241,432151
5450787,430241,432151
5450787,430241,432151
5450787,430241,432151
